danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,genres,genre
0.689,0.713,11,-4.34,0,0.0398,0.505,0.0,0.0846,0.922,155.04,audio_features,7hNFi83UsOQlRfZWG3P5OG,spotify:track:7hNFi83UsOQlRfZWG3P5OG,https://api.spotify.com/v1/tracks/7hNFi83UsOQlRfZWG3P5OG,https://api.spotify.com/v1/audio-analysis/7hNFi83UsOQlRfZWG3P5OG,155655,4,K.O.,"['dance pop', 'post-teen pop', 'baile pop', 'pop', 'funk carioca', 'pop nacional']",dance pop
0.876,0.55,2,-5.464,1,0.152,0.0227,4.52e-05,0.294,0.557,129.924,audio_features,6u0EAxf1OJTLS7CvInuNd7,spotify:track:6u0EAxf1OJTLS7CvInuNd7,https://api.spotify.com/v1/tracks/6u0EAxf1OJTLS7CvInuNd7,https://api.spotify.com/v1/audio-analysis/6u0EAxf1OJTLS7CvInuNd7,201532,4,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),"['electronic trap', 'funk das antigas', 'pop nacional', 'funk ostentacao', 'baile pop', 'funk carioca', 'detroit hip hop', 'bass trap']",electronic trap
0.943,0.798,4,-4.548,0,0.0629,0.386,0.000518,0.074,0.904,134.997,audio_features,2ri2wEE24Tm7fOJ7sGiz7P,spotify:track:2ri2wEE24Tm7fOJ7sGiz7P,https://api.spotify.com/v1/tracks/2ri2wEE24Tm7fOJ7sGiz7P,https://api.spotify.com/v1/audio-analysis/2ri2wEE24Tm7fOJ7sGiz7P,162444,4,Que Tiro Foi Esse,"['baile pop', 'funk carioca']",baile pop
0.91,0.741,11,-2.294,0,0.0565,0.468,7.63e-05,0.055,0.793,95.008,audio_features,1bUazU9SSOh02AdlOPeTvm,spotify:track:1bUazU9SSOh02AdlOPeTvm,https://api.spotify.com/v1/tracks/1bUazU9SSOh02AdlOPeTvm,https://api.spotify.com/v1/audio-analysis/1bUazU9SSOh02AdlOPeTvm,181895,4,O Grave Bater,"['funk carioca', 'funk ostentacao']",funk carioca
0.854,0.682,9,-5.818,0,0.069,0.374,0.0,0.0697,0.887,98.023,audio_features,0u8aj0c4IxeVSLTUuuq9V5,spotify:track:0u8aj0c4IxeVSLTUuuq9V5,https://api.spotify.com/v1/tracks/0u8aj0c4IxeVSLTUuuq9V5,https://api.spotify.com/v1/audio-analysis/0u8aj0c4IxeVSLTUuuq9V5,179000,4,Você Partiu Meu Coração,"['baile pop', 'funk carioca', 'forro', 'funk das antigas']",baile pop
0.748,0.499,9,-9.436,1,0.122,0.149,0.0,0.164,0.686,94.977,audio_features,228vRHzGfQh47EfLjuY1Yr,spotify:track:228vRHzGfQh47EfLjuY1Yr,https://api.spotify.com/v1/tracks/228vRHzGfQh47EfLjuY1Yr,https://api.spotify.com/v1/audio-analysis/228vRHzGfQh47EfLjuY1Yr,175661,4,Rabiola,"['funk carioca', 'funk ostentacao']",funk carioca
0.826,0.618,3,-0.856,0,0.0362,0.217,1.85e-06,0.0951,0.735,130.068,audio_features,0MWKXvUVtvOKamfqRpnAdp,spotify:track:0MWKXvUVtvOKamfqRpnAdp,https://api.spotify.com/v1/tracks/0MWKXvUVtvOKamfqRpnAdp,https://api.spotify.com/v1/audio-analysis/0MWKXvUVtvOKamfqRpnAdp,226038,4,Agora vai sentar,"['funk carioca', 'funk ostentacao']",funk carioca
0.738,0.679,7,-6.107,1,0.0343,0.438,0.0,0.119,0.652,93.076,audio_features,1LNroGH4W4RsUVjIFUsrUA,spotify:track:1LNroGH4W4RsUVjIFUsrUA,https://api.spotify.com/v1/tracks/1LNroGH4W4RsUVjIFUsrUA,https://api.spotify.com/v1/audio-analysis/1LNroGH4W4RsUVjIFUsrUA,221640,4,Quando Você Passa (Turu Turu),['baile pop'],baile pop
0.358,0.209,11,-10.562,1,0.0329,0.817,0.0,0.106,0.106,87.041,audio_features,5ShgNlAGU5WtyKvpz8MEB1,spotify:track:5ShgNlAGU5WtyKvpz8MEB1,https://api.spotify.com/v1/tracks/5ShgNlAGU5WtyKvpz8MEB1,https://api.spotify.com/v1/audio-analysis/5ShgNlAGU5WtyKvpz8MEB1,223580,5,Areia,"['mpb', 'baile pop', 'pop nacional', 'nova mpb']",mpb
0.668,0.359,10,-8.73,0,0.0329,0.489,0.0,0.183,0.363,119.979,audio_features,28I9PNdA9Fmrp1iW5mlkFo,spotify:track:28I9PNdA9Fmrp1iW5mlkFo,https://api.spotify.com/v1/tracks/28I9PNdA9Fmrp1iW5mlkFo,https://api.spotify.com/v1/audio-analysis/28I9PNdA9Fmrp1iW5mlkFo,176603,4,No Escuro,"['umbanda', 'mpb', 'baile pop', 'nova mpb', 'pop nacional']",umbanda
0.891,0.805,8,-5.836,0,0.0898,0.329,0.0,0.277,0.967,95.045,audio_features,7G2XZhDNHo7SSDWSVxC0UT,spotify:track:7G2XZhDNHo7SSDWSVxC0UT,https://api.spotify.com/v1/tracks/7G2XZhDNHo7SSDWSVxC0UT,https://api.spotify.com/v1/audio-analysis/7G2XZhDNHo7SSDWSVxC0UT,146276,4,Terremoto,"['baile pop', 'funk carioca', 'funk ostentacao', 'funk das antigas']",baile pop
0.673,0.76,2,-6.847,1,0.186,0.111,0.00169,0.15,0.934,150.225,audio_features,68uKHxQzoY6gd7YSKJf21J,spotify:track:68uKHxQzoY6gd7YSKJf21J,https://api.spotify.com/v1/tracks/68uKHxQzoY6gd7YSKJf21J,https://api.spotify.com/v1/audio-analysis/68uKHxQzoY6gd7YSKJf21J,160667,4,Só Quer Vrau,"['funk carioca', 'funk ostentacao']",funk carioca
0.798,0.784,4,-3.545,0,0.0667,0.0441,0.0129,0.149,0.653,93.96,audio_features,4R5xvs5X0phd0EYWyGigju,spotify:track:4R5xvs5X0phd0EYWyGigju,https://api.spotify.com/v1/tracks/4R5xvs5X0phd0EYWyGigju,https://api.spotify.com/v1/audio-analysis/4R5xvs5X0phd0EYWyGigju,141508,4,Medicina,"['baile pop', 'funk carioca', 'funk das antigas']",baile pop
0.695,0.775,11,-5.041,0,0.0887,0.0117,0.191,0.0702,0.869,180.054,audio_features,05rJdH2MRLJ3sQoEUO78qs,spotify:track:05rJdH2MRLJ3sQoEUO78qs,https://api.spotify.com/v1/tracks/05rJdH2MRLJ3sQoEUO78qs,https://api.spotify.com/v1/audio-analysis/05rJdH2MRLJ3sQoEUO78qs,141317,4,Paradinha,"['baile pop', 'funk carioca', 'funk das antigas']",baile pop
0.748,0.499,9,-9.436,1,0.122,0.149,0.0,0.164,0.686,94.977,audio_features,228vRHzGfQh47EfLjuY1Yr,spotify:track:228vRHzGfQh47EfLjuY1Yr,https://api.spotify.com/v1/tracks/228vRHzGfQh47EfLjuY1Yr,https://api.spotify.com/v1/audio-analysis/228vRHzGfQh47EfLjuY1Yr,175661,4,Rabiola,"['funk carioca', 'funk ostentacao']",funk carioca
0.778,0.635,6,-2.892,1,0.112,0.107,0.0,0.0608,0.379,90.008,audio_features,6Q4foUefrAyCt8VxJFML56,spotify:track:6Q4foUefrAyCt8VxJFML56,https://api.spotify.com/v1/tracks/6Q4foUefrAyCt8VxJFML56,https://api.spotify.com/v1/audio-analysis/6Q4foUefrAyCt8VxJFML56,162053,4,Olha A Explosão,"['funk carioca', 'funk ostentacao']",funk carioca
0.748,0.673,1,-7.061,1,0.102,0.257,1.69e-06,0.0895,0.779,174.117,audio_features,6etab3UBCo5GOTMZqUvRka,spotify:track:6etab3UBCo5GOTMZqUvRka,https://api.spotify.com/v1/tracks/6etab3UBCo5GOTMZqUvRka,https://api.spotify.com/v1/audio-analysis/6etab3UBCo5GOTMZqUvRka,164157,4,Ta Tum Tum,"['sertanejo pop', 'funk ostentacao', 'funk carioca', 'sertanejo universitario', 'pop nacional']",sertanejo pop
0.814,0.653,3,-0.02,0,0.0359,0.189,0.0,0.0876,0.706,130.099,audio_features,0pDaqgIForVNO4jrtTxcWT,spotify:track:0pDaqgIForVNO4jrtTxcWT,https://api.spotify.com/v1/tracks/0pDaqgIForVNO4jrtTxcWT,https://api.spotify.com/v1/audio-analysis/0pDaqgIForVNO4jrtTxcWT,228923,4,Agora Vai Sentar,"['funk carioca', 'funk ostentacao']",funk carioca
0.816,0.834,8,-4.075,1,0.332,0.481,0.0,0.0706,0.966,80.046,audio_features,7a2RkWslAW6oqnEjRQR0EB,spotify:track:7a2RkWslAW6oqnEjRQR0EB,https://api.spotify.com/v1/tracks/7a2RkWslAW6oqnEjRQR0EB,https://api.spotify.com/v1/audio-analysis/7a2RkWslAW6oqnEjRQR0EB,152063,4,"Senta, senta","['funk carioca', 'funk ostentacao']",funk carioca
0.774,0.701,6,-8.981,0,0.0976,0.227,0.000136,0.299,0.697,130.102,audio_features,6BKqONQeCYVg9pFEy7304G,spotify:track:6BKqONQeCYVg9pFEy7304G,https://api.spotify.com/v1/tracks/6BKqONQeCYVg9pFEy7304G,https://api.spotify.com/v1/audio-analysis/6BKqONQeCYVg9pFEy7304G,143508,4,Adulterio - Ao Vivo,"['funk carioca', 'funk ostentacao', 'funk das antigas']",funk carioca
0.968,0.6,11,-5.679,0,0.0981,0.0418,0.0,0.0585,0.907,111.951,audio_features,2coxlAb4MdWJ9br51D0qn7,spotify:track:2coxlAb4MdWJ9br51D0qn7,https://api.spotify.com/v1/tracks/2coxlAb4MdWJ9br51D0qn7,https://api.spotify.com/v1/audio-analysis/2coxlAb4MdWJ9br51D0qn7,224893,4,Baba,"['baile pop', 'funk carioca', 'funk das antigas']",baile pop
0.767,0.793,6,-4.228,0,0.12,0.223,0.0,0.0598,0.683,87.983,audio_features,2jsZRhuTHMzyF32sVXnxut,spotify:track:2jsZRhuTHMzyF32sVXnxut,https://api.spotify.com/v1/tracks/2jsZRhuTHMzyF32sVXnxut,https://api.spotify.com/v1/audio-analysis/2jsZRhuTHMzyF32sVXnxut,167341,4,Baldin de Gelo,"['mpb', 'baile pop', 'axe', 'funk carioca', 'pagode', 'pop nacional']",mpb
0.728,0.843,0,-4.777,1,0.0915,0.0982,0.0018,0.159,0.769,99.997,audio_features,1fhRsbwiiTuiUFRFrnOZRc,spotify:track:1fhRsbwiiTuiUFRFrnOZRc,https://api.spotify.com/v1/tracks/1fhRsbwiiTuiUFRFrnOZRc,https://api.spotify.com/v1/audio-analysis/1fhRsbwiiTuiUFRFrnOZRc,201613,4,Taquitá,"['mpb', 'baile pop', 'axe', 'funk carioca', 'pagode', 'pop nacional']",mpb
0.529,0.828,0,-7.118,1,0.0362,0.577,1.47e-05,0.467,0.675,90.048,audio_features,2NTomSh86Fy6iHf4DSf49g,spotify:track:2NTomSh86Fy6iHf4DSf49g,https://api.spotify.com/v1/tracks/2NTomSh86Fy6iHf4DSf49g,https://api.spotify.com/v1/audio-analysis/2NTomSh86Fy6iHf4DSf49g,229587,4,Não Precisa Mudar - Ao Vivo,"['mpb', 'baile pop', 'axe', 'pagode', 'pop nacional']",mpb
0.733,0.67,7,-6.385,0,0.0487,0.09,0.0,0.155,0.686,126.992,audio_features,7ggsCVhoqrOJOyDXDvWBlB,spotify:track:7ggsCVhoqrOJOyDXDvWBlB,https://api.spotify.com/v1/tracks/7ggsCVhoqrOJOyDXDvWBlB,https://api.spotify.com/v1/audio-analysis/7ggsCVhoqrOJOyDXDvWBlB,215733,4,Garganta,"['mpb', 'nova mpb']",mpb
0.764,0.606,5,-7.026,0,0.0375,0.335,0.0,0.139,0.95,127.001,audio_features,7LRIFDoKVHTUDKpgZXoEMd,spotify:track:7LRIFDoKVHTUDKpgZXoEMd,https://api.spotify.com/v1/tracks/7LRIFDoKVHTUDKpgZXoEMd,https://api.spotify.com/v1/audio-analysis/7LRIFDoKVHTUDKpgZXoEMd,215373,4,Rosas,"['mpb', 'nova mpb']",mpb
0.692,0.718,2,-6.121,1,0.0661,0.583,0.0,0.121,0.865,86.466,audio_features,6S2H0C4Isna0gjUSl6OUIz,spotify:track:6S2H0C4Isna0gjUSl6OUIz,https://api.spotify.com/v1/tracks/6S2H0C4Isna0gjUSl6OUIz,https://api.spotify.com/v1/audio-analysis/6S2H0C4Isna0gjUSl6OUIz,220080,4,Combustível,"['mpb', 'nova mpb']",mpb
0.744,0.479,1,-11.118,0,0.0403,0.629,0.0,0.722,0.806,133.085,audio_features,3Yx26WDHeIePDco2LZxiR0,spotify:track:3Yx26WDHeIePDco2LZxiR0,https://api.spotify.com/v1/tracks/3Yx26WDHeIePDco2LZxiR0,https://api.spotify.com/v1/audio-analysis/3Yx26WDHeIePDco2LZxiR0,122707,4,Cabide - Multishow Ao Vivo,"['mpb', 'nova mpb']",mpb
0.364,0.841,1,-8.882,0,0.405,0.449,0.0,0.954,0.349,102.477,audio_features,5338vnPnf5fzJDyiWulX9Y,spotify:track:5338vnPnf5fzJDyiWulX9Y,https://api.spotify.com/v1/tracks/5338vnPnf5fzJDyiWulX9Y,https://api.spotify.com/v1/audio-analysis/5338vnPnf5fzJDyiWulX9Y,329120,4,Sinais de Fogo - Ao Vivo,"['mpb', 'baile pop', 'axe', 'funk carioca', 'nova mpb']",mpb
0.683,0.911,9,-6.966,0,0.0805,0.102,0.0,0.933,0.341,121.934,audio_features,1o2n6GuSIGwyjlrwByp9rc,spotify:track:1o2n6GuSIGwyjlrwByp9rc,https://api.spotify.com/v1/tracks/1o2n6GuSIGwyjlrwByp9rc,https://api.spotify.com/v1/audio-analysis/1o2n6GuSIGwyjlrwByp9rc,231147,4,Elevador (Livro de Esquecimento) - Ao Vivo,"['mpb', 'nova mpb']",mpb
0.788,0.916,9,-5.152,0,0.121,0.714,0.0,0.0867,0.829,104.015,audio_features,4t4oqMSwwmpHzQIu1aok1z,spotify:track:4t4oqMSwwmpHzQIu1aok1z,https://api.spotify.com/v1/tracks/4t4oqMSwwmpHzQIu1aok1z,https://api.spotify.com/v1/audio-analysis/4t4oqMSwwmpHzQIu1aok1z,248080,4,Amiga Da Minha Mulher,"['mpb', 'samba', 'pagode']",mpb
0.683,0.931,2,-6.715,1,0.0418,0.599,0.00565,0.329,0.955,101.967,audio_features,2sRoZsP92Bev8JozIVrhEZ,spotify:track:2sRoZsP92Bev8JozIVrhEZ,https://api.spotify.com/v1/tracks/2sRoZsP92Bev8JozIVrhEZ,https://api.spotify.com/v1/audio-analysis/2sRoZsP92Bev8JozIVrhEZ,259082,4,Burguesinha,"['mpb', 'samba', 'pagode']",mpb
0.419,0.702,2,-6.982,1,0.0587,0.728,0.0,0.728,0.575,93.225,audio_features,5rrQVPDt0mapp7sSuQHN1s,spotify:track:5rrQVPDt0mapp7sSuQHN1s,https://api.spotify.com/v1/tracks/5rrQVPDt0mapp7sSuQHN1s,https://api.spotify.com/v1/audio-analysis/5rrQVPDt0mapp7sSuQHN1s,289000,4,Carolina,"['mpb', 'samba', 'pagode']",mpb
0.671,0.964,11,-5.276,0,0.0461,0.215,3.46e-06,0.39,0.825,107.968,audio_features,52zDFiKlCOGaiBbuhPkZue,spotify:track:52zDFiKlCOGaiBbuhPkZue,https://api.spotify.com/v1/tracks/52zDFiKlCOGaiBbuhPkZue,https://api.spotify.com/v1/audio-analysis/52zDFiKlCOGaiBbuhPkZue,346680,4,Mina Do Condomínio - Live,"['mpb', 'samba', 'pagode']",mpb
0.563,0.839,7,-6.596,0,0.0488,0.766,0.0,0.873,0.651,160.026,audio_features,2iH7RnVhofwr9NhaQ6r44K,spotify:track:2iH7RnVhofwr9NhaQ6r44K,https://api.spotify.com/v1/tracks/2iH7RnVhofwr9NhaQ6r44K,https://api.spotify.com/v1/audio-analysis/2iH7RnVhofwr9NhaQ6r44K,227413,4,Lancinho - Ao Vivo,"['sertanejo universitario', 'pagode', 'funk carioca']",sertanejo universitario
0.774,0.906,7,-6.992,1,0.0475,0.369,3.36e-06,0.809,0.567,105.038,audio_features,4tURxbyJrdngCsxanBd25F,spotify:track:4tURxbyJrdngCsxanBd25F,https://api.spotify.com/v1/tracks/4tURxbyJrdngCsxanBd25F,https://api.spotify.com/v1/audio-analysis/4tURxbyJrdngCsxanBd25F,271147,4,Mineirinho / Sai da Minha Aba (Bicão) - Ao Vivo,"['axe', 'sertanejo universitario', 'sertanejo', 'samba', 'pagode']",axe
0.91,0.741,11,-2.294,0,0.0565,0.468,7.63e-05,0.055,0.793,95.008,audio_features,1bUazU9SSOh02AdlOPeTvm,spotify:track:1bUazU9SSOh02AdlOPeTvm,https://api.spotify.com/v1/tracks/1bUazU9SSOh02AdlOPeTvm,https://api.spotify.com/v1/audio-analysis/1bUazU9SSOh02AdlOPeTvm,181895,4,O Grave Bater,"['funk carioca', 'funk ostentacao']",funk carioca
0.52,0.373,9,-9.409,1,0.0276,0.754,0.0,0.085,0.312,79.958,audio_features,1CTxkd1QhrHhtQW7UDhr6Q,spotify:track:1CTxkd1QhrHhtQW7UDhr6Q,https://api.spotify.com/v1/tracks/1CTxkd1QhrHhtQW7UDhr6Q,https://api.spotify.com/v1/audio-analysis/1CTxkd1QhrHhtQW7UDhr6Q,185879,4,"Um Dia Bom, Um Dia Besta","['mpb', 'baile pop', 'nova mpb', 'pagode', 'pop nacional']",mpb
0.788,0.563,11,-6.349,0,0.102,0.21,4.99e-06,0.206,0.403,95.006,audio_features,3aYdSi0FROQmPqkv31CHjh,spotify:track:3aYdSi0FROQmPqkv31CHjh,https://api.spotify.com/v1/tracks/3aYdSi0FROQmPqkv31CHjh,https://api.spotify.com/v1/audio-analysis/3aYdSi0FROQmPqkv31CHjh,199890,4,Traidor,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",sertanejo
0.691,0.846,7,-9.701,1,0.372,0.226,0.0,0.395,0.81,107.788,audio_features,4irVcR7ccy5ZevbLvwkpr3,spotify:track:4irVcR7ccy5ZevbLvwkpr3,https://api.spotify.com/v1/tracks/4irVcR7ccy5ZevbLvwkpr3,https://api.spotify.com/v1/audio-analysis/4irVcR7ccy5ZevbLvwkpr3,195707,3,A Barata,"['axe', 'sertanejo universitario', 'sertanejo', 'samba', 'pagode']",axe
0.629,0.658,5,-9.033,0,0.305,0.585,1.27e-05,0.0963,0.685,101.583,audio_features,360NaAgScYOuymGyAQvXw8,spotify:track:360NaAgScYOuymGyAQvXw8,https://api.spotify.com/v1/tracks/360NaAgScYOuymGyAQvXw8,https://api.spotify.com/v1/audio-analysis/360NaAgScYOuymGyAQvXw8,197400,4,Goiabada Cascão - Ao Vivo,"['velha guarda', 'pagode', 'axe', 'samba']",velha guarda
0.653,0.861,2,-5.182,0,0.0549,0.279,0.0,0.0991,0.952,130.532,audio_features,2XlSx33jLIXsqv4CkYxnGW,spotify:track:2XlSx33jLIXsqv4CkYxnGW,https://api.spotify.com/v1/tracks/2XlSx33jLIXsqv4CkYxnGW,https://api.spotify.com/v1/audio-analysis/2XlSx33jLIXsqv4CkYxnGW,191973,4,Liberdade! Liberdade! Abre As Asas Sobre Nós,['samba-enredo'],samba-enredo
0.448,0.879,3,-5.488,0,0.267,0.705,0.0,0.314,0.706,146.587,audio_features,7pZRUeAhulZ967LU14yLA0,spotify:track:7pZRUeAhulZ967LU14yLA0,https://api.spotify.com/v1/tracks/7pZRUeAhulZ967LU14yLA0,https://api.spotify.com/v1/audio-analysis/7pZRUeAhulZ967LU14yLA0,423667,4,"Maria Bethânia, A Menina Dos Olhos De Oyá","['umbanda', 'bossa nova', 'mpb', 'baile pop', 'samba-enredo', 'nova mpb', 'samba', 'forro']",umbanda
0.553,0.699,0,-9.069,1,0.0904,0.116,7.09e-06,0.933,0.546,140.737,audio_features,2js03JhL5Mx6jXWBgFYp7t,spotify:track:2js03JhL5Mx6jXWBgFYp7t,https://api.spotify.com/v1/tracks/2js03JhL5Mx6jXWBgFYp7t,https://api.spotify.com/v1/audio-analysis/2js03JhL5Mx6jXWBgFYp7t,241040,4,"Bum, Bum Paticumbum Prugurundum - Ao Vivo","['velha guarda', 'pagode', 'axe', 'samba']",velha guarda
0.53,0.668,8,-9.171,1,0.303,0.17,0.0,0.605,0.694,144.027,audio_features,4Fp1s5zPCCTSuCTbwQA2HE,spotify:track:4Fp1s5zPCCTSuCTbwQA2HE,https://api.spotify.com/v1/tracks/4Fp1s5zPCCTSuCTbwQA2HE,https://api.spotify.com/v1/audio-analysis/4Fp1s5zPCCTSuCTbwQA2HE,196733,4,É Hoje - Ao Vivo,"['velha guarda', 'pagode', 'axe', 'samba']",velha guarda
0.401,0.769,2,-8.319,1,0.158,0.000263,0.000458,0.327,0.402,99.226,audio_features,10OaEuICuFoKLq48NoMblA,spotify:track:10OaEuICuFoKLq48NoMblA,https://api.spotify.com/v1/tracks/10OaEuICuFoKLq48NoMblA,https://api.spotify.com/v1/audio-analysis/10OaEuICuFoKLq48NoMblA,167348,4,Crazy In Love - Homecoming Live,"['r&b', 'pop', 'dance pop']",r&b
0.519,0.884,7,-8.077,1,0.369,0.00294,0.0,0.943,0.693,167.345,audio_features,632ikkYPSHSHA5udZeuKvk,spotify:track:632ikkYPSHSHA5udZeuKvk,https://api.spotify.com/v1/tracks/632ikkYPSHSHA5udZeuKvk,https://api.spotify.com/v1/audio-analysis/632ikkYPSHSHA5udZeuKvk,76214,4,Check On It - Homecoming Live,"['r&b', 'pop', 'dance pop']",r&b
0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,audio_features,0rmGAIH9LNJewFw7nKzZnc,spotify:track:0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/tracks/0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/audio-analysis/0rmGAIH9LNJewFw7nKzZnc,222707,4,You Give Love A Bad Name,"['rock', 'glam metal']",rock
